ENERGY STAR Unique ID,Brand Name,Model Number,Commercial Versus Residential,Indoor and Outdoor,Technology,Fixture Type,Total Light Output (lumens),Total Input Power (Watts),Energy Efficiency - Measured at the Source (lumens/Watt),Energy Efficiency - Measured Outside the Fixture (lumens/Watt),Appearance/Correlated Color Temperature (K),Color Quality (CRI),Light Source Life (hrs),Light Sources Per Fixture,Special Features,Date Available On Market,Date Certified,Markets
2185809,Oxygen Lighting,31-6035-XX,Residential,Indoor,LED,Ceiling Mount,1020,15,72.9,N/A,3000,84,60000,1,Continuous Dimming,07/01/2012,07/17/2013,United States and Canada
2185848,Oxygen Lighting,31-6135-XX,Residential,Indoor,LED,Ceiling Mount,2040,29,73,N/A,3000,84,60000,2,Continuous Dimming,07/01/2012,07/17/2013,United States and Canada
2241097,Green Creative,33TRLG4DIM/927/B/H,Residential and Commercial,Indoor and Outdoor,LED,Accent Light Line-voltage,2200,33.8,N/A,70.5,2700,91,40000,N/A,Continuous Dimming,04/20/2015,05/29/2015,United States and Canada
2241098,Green Creative,33TRLG4DIM/930/B/H,Residential and Commercial,Indoor and Outdoor,LED,Accent Light Line-voltage,2200,33.8,N/A,70.5,3000,91,40000,N/A,Continuous Dimming,04/20/2015,05/29/2015,United States and Canada
2241099,Green Creative,33TRLG4DIM/940/B/H,Residential and Commercial,Indoor and Outdoor,LED,Accent Light Line-voltage,2200,33.8,N/A,70.5,4000,91,40000,N/A,Continuous Dimming,04/20/2015,05/29/2015,United States and Canada
2170992,PORTFOLIO,34401,Residential,Indoor,Fluorescent,Chandelier,900,65,71,N/A,2700,83,10000,5,Non-Dimmable,06/01/2010,04/09/2012,United States and Canada
2206952,Arkansas Lamp Mfg.,3626C-LED-0850,Residential,Indoor,LED,Wall Sconces,871,10.6,73.5,N/A,2700,90,36000,1,Non-Dimmable,09/01/2013,03/27/2014,United States and Canada
2206951,Arkansas Lamp Mfg.,3626C-LED-1250,Residential,Indoor,LED,Wall Sconces,1225,15.8,76.4,N/A,2700,90,36000,1,Non-Dimmable,09/01/2013,03/27/2014,United States and Canada
2206950,Arkansas Lamp Mfg.,3628C-LED-0850,Residential,Indoor,LED,Ceiling Mount,860,10.6,73.9,N/A,2700,90,36000,1,Non-Dimmable,09/01/2013,03/27/2014,United States and Canada
2206949,Arkansas Lamp Mfg.,3628C-LED-1250,Residential,Indoor,LED,Ceiling Mount,1201,15.8,75.1,N/A,2700,90,36000,1,Non-Dimmable,09/01/2013,03/27/2014,United States and Canada
2198916,Aspects,MADF330030LRB,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,955,17.1,N/A,56,3000,84,35000,N/A,Continuous Dimming,11/30/2013,12/11/2013,United States and Canada
2233668,Aspects,SOLF330030LSN,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,383,6.1,N/A,62.5,3000,84,35000,N/A,Continuous Dimming,02/12/2015,02/18/2015,United States and Canada
2168685,Green Living,45-038,Residential,Indoor,Fluorescent,Wall Sconces,800,13,66,N/A,2700,82,10000,1,Non-Dimmable,01/01/2011,01/15/2013,United States and Europe and Canada
2214152,Metalux,SL232R,Residential,Indoor,Fluorescent,Ceiling Mount,5576,52,90,N/A,4000,83,10000,2,Non-Dimmable,03/10/2010,06/26/2014,United States and Canada
2170765,Lithonia Lighting,LK4BMWLED,Residential,Indoor,LED,Downlight Recessed,423,9,N/A,46.1,3000,82,35000,N/A,Continuous Dimming,02/01/2011,02/02/2012,United States and Canada
2209788,Lithonia Lighting,4BPMW LED 27K 90CRI,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,501,10.1,N/A,49.4,2700,91,36000,1,Continuous Dimming,04/03/2014,04/03/2014,United States and Canada
2209409,Utilitech,WP232RNKLLU,Residential,Indoor,Fluorescent,Linear Strip,3549,49.9,71.3,N/A,4000,83,10000,2,Non-Dimmable,02/27/2012,04/25/2014,United States and Canada
2209401,Metalux,WP232RNKL,Residential,Indoor,Fluorescent,Linear Strip,3549,49.9,71.3,N/A,4000,83,10000,2,Non-Dimmable,02/27/2012,04/25/2014,United States and Canada
2197589,Halo,H457ICAT1E ELG406927,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197595,Halo,H457ICAT1E ELG406930,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197598,Halo,H457ICATE EL406935,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197602,Halo,H457ICATE EL406940,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197599,Halo,H457ICATE ELG406935,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197620,Halo,H457ICATE ELG406927,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197593,Halo,H457ICATE ELG406930,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197603,Halo,H457ICATE ELG406940,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197609,Halo,H457RICAT1E ELG40692,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197613,Halo,H457RICAT1E ELG40693,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197614,Halo,H457RICATE EL406935,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197616,Halo,H457RICATE EL406940,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197607,Halo,H457RICATE ELG406927,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197611,Halo,H457RICATE ELG406930,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197615,Halo,H457RICATE ELG406935,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197617,Halo,H457RICATE ELG406940,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2212567,Halo,H457RTATE010 EL40692,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,06/06/2014,United States and Canada
2212568,Halo,H457RTATE010 ELG4069,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,06/06/2014,United States and Canada
2197597,Halo,H457TATE010 ELG40693,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197601,Halo,H457TATE010 ELG40693,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197605,Halo,H457TATE010 ELG40694,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197590,Halo,H457TATE010 EL406927,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197596,Halo,H457TATE010 EL406930,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197600,Halo,H457TATE010 EL406935,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197604,Halo,H457TATE010 EL406940,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2239362,NICOR LED,DLG4-10-120-2K-**,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,572,9.2,N/A,62.7,2700,94,36000,N/A,Continuous Dimming,02/05/2015,05/14/2015,United States and Canada
2252966,NICOR LED,DLR4-3006-120-2K-XX,N/A,Indoor,LED,Downlight Solid State Retrofit,662,10.1,N/A,65.6,2700,93,36000,N/A,#NAME?,11/01/2015,11/19/2015,United States and Canada
2239375,NICOR LED,DLQ4-10-120-2K-**,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,600,11.3,N/A,53.2,2700,95,36000,N/A,Continuous Dimming,02/05/2015,05/14/2015,United States and Canada
2164677,PORTFOLIO,ALRF4200LEDSN3K (397,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,800,16,N/A,50.2,3000,84,35000,N/A,Continuous Dimming,08/15/2012,08/09/2012,United States
2164680,Ascent,CARF4200LEDSN3K,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,800,16,N/A,48.2,3000,84,35000,N/A,Continuous Dimming,08/15/2012,08/09/2012,United States
2177933,AFX,CHRF4200LEDSN3K,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,800,16,N/A,50.8,3000,84,35000,4,Continuous Dimming,03/20/2013,03/11/2013,United States and Canada
2247788,AFX Inc.,CARF4300L30SN,Residential,Indoor,LED,Accent Light Line-voltage,1200,23,N/A,60.3,3000,93,35000,N/A,Continuous Dimming,07/27/2015,09/01/2015,United States and Canada
2164681,Ascent,CRRF4200LEDSN3K,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,800,16,N/A,48.2,3000,83,35000,N/A,Continuous Dimming,08/15/2012,08/09/2012,United States
2246686,AFX Inc.,CRRF4300L30SN,N/A,Indoor,LED,Accent Light Line-voltage,1200,23,N/A,60.5,3000,93,35000,N/A,N/A,07/30/2015,07/30/2015,United States and Canada
2162836,Innova Lighting,INFT9101SN,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,800,16,N/A,61,3000,83,35000,4,Continuous Dimming,11/10/2012,10/30/2012,United States and Canada
2198915,Aspects,MADF430030LRB,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,1243,21.2,N/A,58.6,3000,84,35000,N/A,Continuous Dimming,11/30/2013,12/11/2013,United States and Canada
2233669,Aspects,MADF430030LRB,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,380,23,N/A,66.1,3000,83,35000,N/A,Continuous Dimming,02/12/2015,02/18/2015,United States and Canada
2164682,Ascent,TRRF4200LEDSN3K,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,800,16,N/A,48.4,3000,84,35000,N/A,Continuous Dimming,08/15/2012,08/09/2012,United States
2164676,Hampton Bay,VERF4200LEDRB3K,Residential and Commercial,Indoor,LED,Accent Light Line-voltage,800,16,N/A,45.4,3000,82,35000,N/A,Continuous Dimming,08/15/2012,08/09/2012,United States
2212898,Hampton Bay,4W4205-SN,Residential,Indoor,LED,Ceiling Mount,1500,28.5,69.6,N/A,2700,81,50000,1,Non-Dimmable,06/11/2014,06/11/2014,United States and Canada
2217930,Brownlee Lighting,5010-48-E37LED-XXX-E,Residential,Indoor and Outdoor,LED,Bath Vanity,4132,36,113.1,N/A,3500,84,72000,2,Non-Dimmable,06/01/2014,07/30/2014,United States and Canada
2217929,Brownlee Lighting,1454-XX-XX-E20LED-XX,Residential,Indoor and Outdoor,LED,Bath Vanity,2068,20,102.7,N/A,3500,84,72000,1,Non-Dimmable,06/01/2014,07/30/2014,United States and Canada
2150763,Halo,ML5606935,Residential and Commercial,Indoor,LED,Downlight Recessed,770,9.5,N/A,81.2,3500,94,50000,1,Continuous Dimming- Type IC Airtight,07/16/2012,07/30/2012,United States and Canada
2168648,Arkansas,5339TPC-18,Residential,Indoor,Fluorescent,Residential Portable Desk Task Light,1274,19,71,N/A,2700,83,10000,1,Non-Dimmable,08/01/2012,01/15/2013,United States and Canada
2239372,NICOR LED,DLG56-10-120-2K-**,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,869,12.6,N/A,69.3,2700,94,36000,N/A,Continuous Dimming,02/05/2015,05/14/2015,United States and Canada
2244628,e-conolight,E-T6C2132WW,Residential,Indoor,LED,Downlight Solid State Retrofit,966,13,N/A,73.8,2700,92,43000,N/A,Continuous Dimming,09/01/2014,07/29/2015,United States and Canada
2244629,e-conolight,E-T6C2133WW,Residential,Indoor,LED,Downlight Solid State Retrofit,966,13,N/A,73.8,3000,92,43000,N/A,Continuous Dimming,09/01/2014,07/29/2015,United States and Canada
2244630,e-conolight,E-T6C2172WW,Residential,Indoor,LED,Downlight Solid State Retrofit,1273,17,N/A,74.5,2700,92,44000,N/A,Continuous Dimming,09/01/2014,07/29/2015,United States and Canada
2244634,e-conolight,E-T6C2173WW,Residential,Indoor,LED,Downlight Solid State Retrofit,1273,17,N/A,74.5,3000,92,44000,N/A,Continuous Dimming,09/01/2014,07/29/2015,United States and Canada
2239361,NICOR LED,DEB56-20-120-2K-**,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,838,12.5,N/A,67.2,2700,94,36000,N/A,Continuous Dimming,02/05/2015,05/14/2015,United States and Canada
2233006,NICOR LED,DLS56-2009-120-2K-**,Residential,Indoor,LED,Downlight Solid State Retrofit,1015,14.8,N/A,68.8,2700,95,60000,N/A,Continuous Dimming,02/05/2015,02/11/2015,United States and Canada
2233007,NICOR LED,DLS56-2012-120-2K-**,Residential,Indoor,LED,Downlight Solid State Retrofit,1267,17.4,N/A,73,2700,95,60000,N/A,Continuous Dimming,02/05/2015,02/11/2015,United States and Canada
2244620,e-conolight,E-T6D2153WW,Residential,Indoor,LED,Downlight Solid State Retrofit,1015,14.8,N/A,68.8,2700,95,60000,N/A,Continuous Dimming,02/05/2015,07/29/2015,United States and Canada
2169840,Sea Gull Lighting,59132LE-15,Residential,Indoor,Fluorescent,Linear Strip,4408,59,65,N/A,2700,80,10000,2,Non-Dimmable,01/01/2011,01/23/2013,United States and Canada
2199830,Sea Gull Lighting,59360LE-881,Residential,Indoor,Fluorescent,Ceiling Mount,4356,63,68,N/A,4000,80,10000,4,Non-Dimmable,01/02/2003,01/03/2014,United States and Canada
2241809,Hampton Bay,5A1610-SN,Residential and Commercial,Indoor,LED,Portable Desk Task Light,220,4.8,N/A,46.6,2700,83,50000,1,Non-Dimmable,06/18/2015,06/18/2015,United States and Canada
2209787,Lithonia Lighting,5BPMW LED 27K 90CRI,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,589,10.9,N/A,54,2700,91,36000,1,Continuous Dimming,04/03/2014,04/03/2014,United States and Canada
2246581,NICOR LED,DLQ5-10-120-50K-WH,Commercial,Indoor,LED,Downlight Recessed,1000,16,N/A,68.1,2700,92,36000,N/A,Continuous Dimming- Type Non-IC,08/13/2015,08/26/2015,United States and Canada
2253659,Nora Lighting,NRM-51XL8527YY + NHZ,N/A,Indoor,LED,Downlight Recessed,988,15.9,N/A,62.2,2700,87,42000,N/A,#NAME?,11/01/2015,11/25/2015,United States and Canada
2181774,SYLVANIA ; OSRAM,600lm 2700K/ 600lm 3,Residential and Commercial,Indoor,LED,Downlight Recessed,581,8.4,N/A,69.2,2700,83,50000,20,Continuous Dimming- Type Non-IC,04/01/2013,05/29/2013,United States and Canada
2168024,NUVO,60-2207,Residential,Indoor and Outdoor,Fluorescent,Porch (wall mounted),800,13,66,N/A,2700,82,10000,1,Non-Dimmable,01/01/2011,01/11/2013,United States and Europe and Canada
2168031,NUVO,60-465,Residential,Indoor,Fluorescent,Chandelier,2400,36,68,N/A,2700,81,10000,2,Non-Dimmable,01/01/2011,01/11/2013,United States and Europe and Canada
2168143,NUVO,60-2524,Residential,Outdoor,Fluorescent,Pendant,1200,18,68,N/A,N/A,N/A,10000,1,Non-Dimmable,01/01/2011,01/11/2013,United States and Europe and Canada
2168142,NUVO,60-2502,Residential,Outdoor,Fluorescent,Porch (wall mounted),1200,18,68,N/A,N/A,N/A,10000,1,Non-Dimmable,01/01/2011,01/11/2013,United States and Europe and Canada
2168697,NUVO,60-2418,Residential,Indoor,Fluorescent,Chandelier,1600,26,66,N/A,2700,82,10000,2,Non-Dimmable,01/01/2011,01/15/2013,United States and Europe and Canada
2168683,NUVO,60-2947,Residential,Indoor,Fluorescent,Ceiling Mount,3200,52,66,N/A,2700,82,10000,4,Non-Dimmable,01/01/2011,01/15/2013,United States and Europe and Canada
2168754,NUVO,60-3306,Residential,Indoor,Fluorescent,Chandelier,7200,117,66,N/A,2700,82,10000,9,Non-Dimmable,01/01/2011,01/16/2013,United States and Europe and Canada
2168030,NUVO,60-3309,Residential,Indoor,Fluorescent,Chandelier,1200,18,68,N/A,2700,81,10000,1,Non-Dimmable,01/01/2011,01/11/2013,United States and Europe and Canada
2168694,NUVO,60-3325,Residential,Indoor,Fluorescent,Wall Sconces,4000,65,66,N/A,2700,82,10000,5,Non-Dimmable,01/01/2011,01/15/2013,United States and Europe and Canada
2168759,NUVO,60-3327,Residential,Indoor,Fluorescent,Wall Sconces,5600,91,66,N/A,2700,82,10000,7,Non-Dimmable,01/01/2011,01/16/2013,United States and Europe and Canada
2171926,NUVO,60-3301,Residential,Indoor,Fluorescent,Bath Vanity,830,15,57.4,N/A,2700,82,10000,1,Non-Dimmable,05/21/2009,02/05/2013,United States and Canada
2168698,NUVO,60-3873,Residential,Indoor,Fluorescent,Chandelier,3200,52,66,N/A,2700,82,10000,4,Non-Dimmable,01/01/2011,01/15/2013,United States and Europe and Canada
2168022,NUVO,60-3907,Residential,Indoor and Outdoor,Fluorescent,Ceiling Mount,1600,26,66,N/A,2700,82,10000,2,Non-Dimmable,01/01/2011,01/11/2013,United States and Europe and Canada
2168023,NUVO,60-2205,Residential,Indoor and Outdoor,Fluorescent,Porch (wall mounted),800,13,66,N/A,2700,82,10000,1,Non-Dimmable,01/01/2011,01/11/2013,United States and Europe and Canada
2168756,NUVO,60-4049,Residential,Indoor,Fluorescent,Ceiling Mount,4800,78,66,N/A,2700,82,10000,6,Non-Dimmable,01/01/2011,01/16/2013,United States and Europe and Canada
2173998,NUVO,60-414,Residential,Indoor,Fluorescent,Ceiling Mount,1200,36,68,N/A,2700,81,10000,2,Non-Dimmable,01/01/2011,02/28/2013,United States and Europe and Canada
